time,high,low,close,volume
1595853900,321.59,321.59,321.59,500
1595855700,321.83,321.8,321.83,1002
1595856600,321.625,320.82,321.08,36885
1595856900,321.25,321.05,321.195,13451
1595857200,321.73,321.1,321.69,15977
1595857500,322.06,321.67,322.055,5188
1595857800,322.54,321.95,322.505,29031
1595858100,322.69,322.405,322.625,16067
1595858400,322.71,322.44,322.545,6168
1595858700,322.64,322.455,322.555,28105
1595859000,322.77,322.45,322.475,10149
1595859300,322.77,322.48,322.665,10312
1595859600,322.89,322.41,322.61,9584
1595859900,322.675,322.49,322.595,7777
1595860200,322.62,322.46,322.49,35033
1595860500,322.89,322.38,322.89,5953
1595860800,322.84,322.72,322.72,5170
1595861100,322.91,322.75,322.845,2578
1595861400,322.85,322.73,322.815,1820
1595861700,322.88,322.56,322.615,3278
1595862000,322.63,322.405,322.48,4807
1595862300,322.59,322.465,322.52,3230
1595862600,322.55,322.25,322.26,4580
1595862900,322.32,322.11,322.3,6587
1595863200,322.295,321.89,321.89,4061
1595863500,322.06,321.68,321.72,3251
1595863800,321.9,321.66,321.82,2704
1595864100,321.655,321.26,321.53,10655
1595864400,321.67,321.49,321.6,4050
1595864700,321.86,321.62,321.83,6572
1595865000,321.96,321.84,321.95,4245
1595865300,322.0,321.91,321.99,2870
1595865600,322.01,321.835,321.955,10693
1595865900,322.105,321.955,322.03,9738
1595866200,322.15,322.06,322.135,2536
1595866500,322.13,321.93,321.93,5343
1595866800,322.105,321.95,322.01,9866
1595867100,322.22,321.985,322.22,1666
1595867400,322.255,322.105,322.19,1982
1595867700,322.42,322.2,322.4,1917
1595868000,322.41,322.35,322.41,2080
1595868300,322.39,322.27,322.315,3904
1595868600,322.39,322.245,322.325,3043
1595868900,322.45,322.345,322.37,4769
1595869200,322.51,322.43,322.47,2102
1595869500,322.5,322.31,322.33,3378
1595869800,322.48,322.32,322.48,1046
1595870100,322.53,322.47,322.49,812
1595870400,322.59,322.47,322.57,2298
1595870700,322.66,322.57,322.64,2812
1595871000,322.68,322.615,322.68,2943
1595871300,322.74,322.6,322.74,2036
1595871600,322.745,322.57,322.6,3011
1595871900,322.68,322.54,322.61,4406
