time,k,path,size_mb,delta_mb,type,desc,rss_gb,vms_gb,sys_mem_percent
2026-05-09 17:38:01,0,l:last_X,38.9953,38.9953,Population,Population,0.3506,3.0027,40.3
2026-05-09 17:38:01,0,l:X,38.9953,38.9953,Population,Population,0.3506,3.0027,40.3
2026-05-09 17:38:01,0,l:last_X._X_inst,38.2046,38.2046,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3506,3.0027,40.3
2026-05-09 17:38:01,0,l:X._X_inst,38.2046,38.2046,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3506,3.0027,40.3
2026-05-09 17:38:09,1,l:last_X,38.9954,0.0001,Population,Population,0.3581,3.011,40.5
2026-05-09 17:38:09,1,l:X,38.9954,0.0001,Population,Population,0.3581,3.011,40.5
2026-05-09 17:38:09,1,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3581,3.011,40.5
2026-05-09 17:38:09,1,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3581,3.011,40.5
2026-05-09 17:38:56,2,l:last_X,38.9954,-0.0,Population,Population,0.3802,3.0325,38.7
2026-05-09 17:38:56,2,l:X,38.9954,-0.0,Population,Population,0.3802,3.0325,38.7
2026-05-09 17:38:56,2,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3802,3.0325,38.7
2026-05-09 17:38:56,2,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3802,3.0325,38.7
2026-05-09 17:39:13,3,l:last_X,38.9955,0.0001,Population,Population,0.395,3.0472,38.9
2026-05-09 17:39:13,3,l:X,38.9955,0.0001,Population,Population,0.395,3.0472,38.9
2026-05-09 17:39:13,3,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.395,3.0472,38.9
2026-05-09 17:39:13,3,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.395,3.0472,38.9
2026-05-09 17:39:20,4,l:last_X,38.9954,-0.0,Population,Population,0.396,3.0482,39.0
2026-05-09 17:39:20,4,l:X,38.9954,-0.0,Population,Population,0.396,3.0482,39.0
2026-05-09 17:39:20,4,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.396,3.0482,39.0
2026-05-09 17:39:20,4,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.396,3.0482,39.0
2026-05-09 17:39:20,4,l:G,1.0874,1.0874,Grammar,Grammar,0.396,3.0482,39.0
2026-05-09 17:40:24,5,l:last_X,38.9966,0.0012,Population,Population,0.3832,3.0354,38.7
2026-05-09 17:40:24,5,l:X,38.9966,0.0012,Population,Population,0.3832,3.0354,38.7
2026-05-09 17:40:24,5,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3832,3.0354,38.7
2026-05-09 17:40:24,5,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3832,3.0354,38.7
2026-05-09 17:40:24,5,l:G,1.6502,0.5628,Grammar,Grammar,0.3832,3.0354,38.7
2026-05-09 17:41:15,6,l:last_X,38.9966,0.0,Population,Population,0.3934,3.0458,38.9
2026-05-09 17:41:15,6,l:X,38.9966,0.0,Population,Population,0.3934,3.0458,38.9
2026-05-09 17:41:15,6,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3934,3.0458,38.9
2026-05-09 17:41:15,6,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3934,3.0458,38.9
2026-05-09 17:41:15,6,l:G,2.0943,0.4441,Grammar,Grammar,0.3934,3.0458,38.9
2026-05-09 17:41:54,7,l:last_X,38.9966,0.0,Population,Population,0.386,3.0383,38.8
2026-05-09 17:41:54,7,l:X,38.9966,0.0,Population,Population,0.386,3.0383,38.8
2026-05-09 17:41:54,7,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.386,3.0383,38.8
2026-05-09 17:41:54,7,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.386,3.0383,38.8
2026-05-09 17:41:54,7,l:G,2.3339,0.2397,Grammar,Grammar,0.386,3.0383,38.8
2026-05-09 17:42:35,8,l:last_X,38.9966,0.0,Population,Population,0.3965,3.0485,39.0
2026-05-09 17:42:35,8,l:X,38.9966,0.0,Population,Population,0.3965,3.0485,39.0
2026-05-09 17:42:35,8,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3965,3.0485,39.0
2026-05-09 17:42:35,8,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.3965,3.0485,39.0
2026-05-09 17:42:35,8,l:G,2.6595,0.3255,Grammar,Grammar,0.3965,3.0485,39.0
2026-05-09 17:43:09,9,l:last_X,38.9966,0.0,Population,Population,0.4059,3.0586,39.1
2026-05-09 17:43:09,9,l:X,38.9966,0.0,Population,Population,0.4059,3.0586,39.1
2026-05-09 17:43:09,9,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4059,3.0586,39.1
2026-05-09 17:43:09,9,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4059,3.0586,39.1
2026-05-09 17:43:09,9,l:G,3.0554,0.3959,Grammar,Grammar,0.4059,3.0586,39.1
2026-05-09 17:43:09,9,l:G._MCTS_CHILDREN,1.0672,1.0672,dict,dict len=2611,0.4059,3.0586,39.1
2026-05-09 17:43:27,10,l:last_X,38.9966,0.0,Population,Population,0.4076,3.0605,39.0
2026-05-09 17:43:27,10,l:X,38.9966,0.0,Population,Population,0.4076,3.0605,39.0
2026-05-09 17:43:27,10,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4076,3.0605,39.0
2026-05-09 17:43:27,10,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4076,3.0605,39.0
2026-05-09 17:43:27,10,l:G,3.0991,0.0437,Grammar,Grammar,0.4076,3.0605,39.0
2026-05-09 17:43:27,10,l:G._MCTS_CHILDREN,1.0867,0.0195,dict,dict len=2662,0.4076,3.0605,39.0
2026-05-09 17:44:07,11,l:last_X,38.9966,0.0,Population,Population,0.4087,3.0615,39.6
2026-05-09 17:44:07,11,l:X,38.9966,0.0,Population,Population,0.4087,3.0615,39.6
2026-05-09 17:44:07,11,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4087,3.0615,39.6
2026-05-09 17:44:07,11,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4087,3.0615,39.6
2026-05-09 17:44:07,11,l:G,3.7811,0.6821,Grammar,Grammar,0.4087,3.0615,39.6
2026-05-09 17:44:07,11,l:G._MCTS_CHILDREN,1.2404,0.1537,dict,dict len=2844,0.4087,3.0615,39.6
2026-05-09 17:44:07,11,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.1778,1.1778,dict,dict len=11238,0.4087,3.0615,39.6
2026-05-09 17:44:44,12,l:last_X,38.9966,0.0,Population,Population,0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:X,38.9966,0.0,Population,Population,0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:G,3.9543,0.1732,Grammar,Grammar,0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:initialization_kwargs,1.3572,1.3572,dict,dict len=15,0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:initialization_kwargs['grmr_prior'],1.3556,1.3556,Grammar,Grammar,0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:G._MCTS_CHILDREN,1.3126,0.0722,dict,dict len=2993,0.4139,3.0659,39.8
2026-05-09 17:44:44,12,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.2314,0.0536,dict,dict len=12218,0.4139,3.0659,39.8
2026-05-09 17:45:13,13,l:last_X,38.9966,0.0,Population,Population,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:X,38.9966,0.0,Population,Population,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:G,4.0456,0.0912,Grammar,Grammar,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:initialization_kwargs,1.3572,0.0,dict,dict len=15,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:initialization_kwargs['grmr_prior'],1.3556,0.0,Grammar,Grammar,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:G._MCTS_CHILDREN,1.347,0.0345,dict,dict len=3081,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.2647,0.0333,dict,dict len=12826,0.4218,3.0747,39.9
2026-05-09 17:45:13,13,l:histories,1.1045,1.1045,dict,dict len=37,0.4218,3.0747,39.9
2026-05-09 17:45:40,14,l:last_X,38.9966,0.0,Population,Population,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:X,38.9966,0.0,Population,Population,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:G,4.1355,0.09,Grammar,Grammar,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:G._MCTS_CHILDREN,1.3803,0.0333,dict,dict len=3166,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:initialization_kwargs,1.3572,0.0,dict,dict len=15,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:initialization_kwargs['grmr_prior'],1.3556,0.0,Grammar,Grammar,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.298,0.0333,dict,dict len=13435,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:histories,1.259,0.1545,dict,dict len=37,0.4236,3.0757,39.9
2026-05-09 17:45:40,14,l:histories['g_mcts_children'],1.1176,1.1176,list,list len=15,0.4236,3.0757,39.9
2026-05-09 17:46:08,15,l:last_X,38.9966,0.0,Population,Population,0.4032,3.0561,39.7
2026-05-09 17:46:08,15,l:X,38.9966,0.0,Population,Population,0.4032,3.0561,39.7
2026-05-09 17:46:08,15,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4032,3.0561,39.7
2026-05-09 17:46:08,15,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4032,3.0561,39.7
2026-05-09 17:46:08,15,l:G,4.2613,0.1257,Grammar,Grammar,0.4032,3.0561,39.7
2026-05-09 17:46:08,15,l:G._MCTS_CHILDREN,1.4214,0.0411,dict,dict len=3271,0.4032,3.0561,39.7
2026-05-09 17:46:08,15,l:histories,1.4134,0.1544,dict,dict len=37,0.4032,3.0561,39.7
